;"Kompetenzaspekte";;
"Spalte1";"Spalte2";"Spalte3";"Spalte4"
"Kompetenzaspekte";;;
"Fachkompetenz";;"Personale Kompetenz";
"Wissen";"Fertigkeiten";"Sozialkompetenz";"Selbstkompetenz"
"Tiefe und Breite des Wissens";"Instrumentelle und systematische Fertigkeiten, Beurteilungsfähigkeit";"Team-/Führungsfähigkeit, Mitgestaltung und Kommunikation";"Selbständigkeit/ Verantwortung, Reflexivität und Lernkompetenz"
"W";"F";"K";"M"
