;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann die Kombination unterschiedliche Analyseverfahren zur Strukturaufklärung planen ), durchführen und validieren ";;"L6-SP.Labortechnik, 
L5-SP.Labortechnik"
"K2";"Kann Analyseverfahren projektieren, realisieren und validieren";;"L6"
