;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann Prozesse unter wirtschaftlichen und arbeitsorganisatorischen Aspekten analysieren ";;"L3"
"K2";"Kann Material und Geräteeinsatz mit Blick auf betriebs- und personalwirtschaftlichen Faktoren planen ";;"L3"
"K3";"Kann Personal- und Materialkosten ermitteln und Wirtschaftlichkeitsberechnungen aufstellen ";;"L3"
"K4";"Kann bei der Analyse, Planung und Umsetzung betrieblicher Geschäftsprozesse betriebliche Strukturen und rechtliche Rahmenbedingungen berücksichtigen ";;"L3"
