;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kennt grundlegende technologische Prinzipien ";;"L1"
"K2";"Kennt Prinzipien der Verfahrenstechnologie, der Reaktionstechnik, der Biotechnologie, der Stöchiometrie, der Messtechnik und Regelungstechnik ";;"L1, L2"
