;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";" Kann Vorschriften für chemische/technische Produktionsprozesse recherchieren, erstellen und validieren ";;"L5"
"K2";"Kann Prozessdaten berechnen, Methoden auswählen und in Hinblick auf Effektivität bewerten ";;"L5"
"K3";"Kann den Einsatz von Apparaten und Maschinen in Prozessabläufen unter Anwendung von Steuerungs- und Regelungssysteme planen ";;"L5-SP:Betriebstechnik"
"K4";"Kann Ablaufsteuerungen projektieren ";;"L6-SP:Betriebstechnik"
"K5";"Kann Steuerungs- und Regelungssysteme in Prozessleitsystemen zur Optimierung von Prozessabläufen nutzen ";;"L6-SP:Betriebstechnik"
"K6";"Kann Prozessparameter, den Einsatz von Geräten, Apparaturen, Geräten und Stoffen zur Optimierung des Verfahrensprozess variieren ";;"L6"
"K7";" Kann Prozessergebnisse dokumentieren, begründen und präsentieren (auch in englischer Sprach) ";;"L5, L6"
