;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann Maßnahmen zur Personalentwicklung anhand von  Managementsystemen planen und dokumentieren ";;"L4"
"K2";"Kann Elemente des Controllings zur Betriebs- und Organisationsoptimierung einsetzten ";;"L7"
