;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann den Produktionsprozess beschreiben ";;"L12"
"K2";"Kann verfahrenstechnische Prozesse steuern und regeln ";;"11.e, 4.4.c"
"K3";"Kann Prozessablauf kontrollieren und dokumentieren ";;"21.d"
"K4";"Kann biotechnische Prozesse überwachen ";;"L18"
