;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann Möglichkeiten der Beeinflussbarkeit von Kosten im eigenen Arbeitsbereich nutzten ";;"3.6.b"
"K2";"Kann zur Einhaltung von Kostenvorgaben beitragen ";;"3.6.c"
