;berufliche Kompetenzen;Beschreibung;Quelle Curriculum
1;Kann betriebsübliche Parameter zur Steuerung von Prozessen messen und beurteilen;;WP10
2;Kann Prozesse mithilfe von Regelungs- und Steuerungstechnik beeinflussen, sowie die Prozessführung beurteilen      ;;L4
