;"berufliche Kompetenzen";"Beschreibung";"Quelle Curriculum"
"K1";"Kann Geräte, Messsysteme, Apparate und Maschinen konfigurieren und in Betrieb nehmen ";;"L2"
"K2";"Kann Ablaufsteuerungen in Betrieb nehmen ";;"L6-SP:Betriebstechnik"
