;berufliche Kompetenzen;Beschreibung;Quelle Curriculum
1;Kann einen Syntheseplan entwickeln und ausführen;;
2;"Kann übliche Herstellungsverfahren für organische Verbindungen planen,
durchführen und optimieren";;
3;"Kann übliche Herstellungsverfahren für anorganische Chemikalien und Metalle
planen, durchführen und optimieren";;
4;"Kann betriebsübliche verfahrenstechnische mechanische Grundoperationen
planen, durchführen und optimieren";;
5;"Kann betriebsübliche verfahrenstechnische thermische Grundoperationen
planen, durchführen und optimieren";;
6;"Kann Mengenströme und Energiebilanzen von verfahrenstechnischen Prozessen
Erstellen";;
7;"Kann verfahrenstechnische Prozesse analysieren, entwickeln bzw. mitgestalten
und ggf. optimieren";;
