;berufliche Kompetenzen;Beschreibung;Quelle Curriculum
1;Kann Prozessdaten berechnen und in Hinblick auf Effektivität bewerten;;
2;"Kann Steuerungs- und Regelungssysteme in Prozessleitsystemen zur
Optimierung von Prozessabläufen nutzen (Schwerpunkt: Betriebstechnik)";;
3;Kann Ablaufsteuerungen projektieren (Schwerpunkt: Betriebstechnik);;
